28.01.2013  15:41:30   þ LBA Warning: 242695485
28.01.2013  15:41:31   þ LBA warning: 242696505
28.01.2013  15:41:32   þ LBA Warning: 242699055
28.01.2013  15:41:33   þ LBA warning: 242702880
28.01.2013  15:41:34   þ LBA warning: 242704920
28.01.2013  15:41:34   þ LBA Warning: 242706450
28.01.2013  15:41:36   þ LBA warning: 242706705
28.01.2013  15:41:36   þ LBA Warning: 242708490
28.01.2013  15:41:37   þ LBA warning: 242710530
28.01.2013  15:41:43   þ LBA Error: 242711494
28.01.2013  15:41:43   þ LBA warning: 242711550
28.01.2013  15:41:44   þ LBA Warning: 242712315
28.01.2013  15:41:44   þ LBA Warning: 242714100
28.01.2013  15:41:44   þ LBA Warning: 242715120
28.01.2013  15:41:46   þ LBA warning: 242716140
28.01.2013  15:41:46   þ LBA Warning: 242716395
28.01.2013  15:41:47   þ LBA warning: 242717160
28.01.2013  15:41:48   þ LBA Warning: 242717415
28.01.2013  15:41:48   þ LBA Warning: 242718945
28.01.2013  15:41:48   þ LBA Warning: 242719710
28.01.2013  15:41:50   þ LBA warning: 242719965
28.01.2013  15:41:51   þ LBA warning: 242721750
28.01.2013  15:41:51   þ LBA Warning: 242722770
28.01.2013  15:41:51   þ LBA Warning: 242723025
28.01.2013  15:41:51   þ LBA Warning: 242724555
28.01.2013  15:41:54   þ LBA warning: 242730165
28.01.2013  15:41:55   þ LBA warning: 242731185
28.01.2013  15:41:56   þ LBA warning: 242731950
28.01.2013  15:41:57   þ LBA Warning: 242732205
28.01.2013  15:41:57   þ LBA Warning: 242732970
28.01.2013  15:41:57   þ LBA warning: 242733225
28.01.2013  15:41:59   þ LBA Warning: 242839560
28.01.2013  15:41:59   þ LBA Warning: 242840580
28.01.2013  15:42:00   þ LBA Warning: 242842365
28.01.2013  15:42:00   þ LBA Warning: 242842620
28.01.2013  15:42:00   þ LBA Warning: 242843130
28.01.2013  15:42:05   þ LBA Error: 242845211
28.01.2013  15:42:06   þ LBA Warning: 242851800
28.01.2013  15:42:06   þ LBA Warning: 242857410
28.01.2013  15:42:06   þ LBA Warning: 242858430
28.01.2013  15:42:07   þ LBA Warning: 242865060
28.01.2013  15:42:08   þ LBA warning: 242866080
28.01.2013  15:42:08   þ LBA Warning: 242868885
28.01.2013  15:42:09   þ LBA Warning: 242870670
28.01.2013  15:42:09   þ LBA Warning: 242873475
28.01.2013  15:42:11   þ LBA warning: 242874495
28.01.2013  15:42:12   þ LBA Warning: 242882910
28.01.2013  15:42:14   þ LBA warning: 242886735
28.01.2013  15:42:14   þ LBA Warning: 242886990
28.01.2013  15:42:15   þ LBA warning: 242895150
28.01.2013  15:42:15   þ LBA Warning: 242895405
28.01.2013  15:42:19   þ LBA Warning: 242930850
28.01.2013  15:42:19   þ LBA Warning: 242931105
28.01.2013  15:42:19   þ LBA Warning: 242933655
28.01.2013  15:42:20   þ LBA warning: 242934420
28.01.2013  15:42:21   þ LBA warning: 242934675
28.01.2013  15:42:21   þ LBA Warning: 242937480
28.01.2013  15:42:23   þ LBA warning: 242940285
28.01.2013  15:42:24   þ LBA Warning: 242941305
28.01.2013  15:42:30   þ LBA Error: 243052627
28.01.2013  15:42:30   þ LBA Warning: 243053250
28.01.2013  15:42:31   þ LBA Warning: 243053505
28.01.2013  15:42:31   þ LBA warning: 243057075
28.01.2013  15:42:33   þ LBA warning: 243057330
28.01.2013  15:42:34   þ LBA warning: 243059115
28.01.2013  15:42:34   þ LBA Warning: 243059880
28.01.2013  15:42:35   þ LBA Warning: 243060135
28.01.2013  15:42:35   þ LBA Warning: 243060900
28.01.2013  15:42:35   þ LBA Warning: 243063705
28.01.2013  15:42:36   þ LBA Warning: 243064725
28.01.2013  15:42:36   þ LBA Warning: 243066510
28.01.2013  15:42:36   þ LBA Warning: 243067530
28.01.2013  15:42:37   þ LBA Warning: 243068550
28.01.2013  15:42:37   þ LBA Warning: 243069570
28.01.2013  15:42:37   þ LBA Warning: 243070335
28.01.2013  15:42:38   þ LBA warning: 243071355
28.01.2013  15:42:40   þ LBA warning: 243079770
28.01.2013  15:42:41   þ LBA Warning: 243085380
28.01.2013  15:42:42   þ LBA warning: 243086400
28.01.2013  15:42:42   þ LBA Warning: 243088185
28.01.2013  15:42:43   þ LBA Warning: 243088440
28.01.2013  15:42:43   þ LBA Warning: 243092010
28.01.2013  15:42:44   þ LBA Warning: 243093795
28.01.2013  15:42:46   þ LBA warning: 243094050
28.01.2013  15:42:46   þ LBA Warning: 243094815
28.01.2013  15:42:46   þ LBA Warning: 243095835
28.01.2013  15:42:47   þ LBA Warning: 243096600
28.01.2013  15:42:47   þ LBA Warning: 243096855
28.01.2013  15:42:48   þ LBA Warning: 243100680
28.01.2013  15:42:50   þ LBA warning: 243104250
28.01.2013  15:42:52   þ LBA warning: 243108840
28.01.2013  15:42:53   þ LBA Warning: 243109095
28.01.2013  15:42:53   þ LBA Warning: 243109860
28.01.2013  15:42:54   þ LBA warning: 243110625
28.01.2013  15:42:55   þ LBA warning: 243110880
28.01.2013  15:42:56   þ LBA Warning: 243112920
